APPLICATION NUMBER,TYPE,YEAR ISSUED,PRINCIPAL DUE,ADDRESS, 
   332066,PERMIT,2011,1008.94,1321 S 31ST ST , 
   332094,PERMIT,2011,4678.48,1827 W VENANGO ST , 
   332198,PERMIT,2011,205.03,439 W HEWSON ST , 
   332215,PERMIT,2011,3619.87,4741 WHITAKER AVE , 
   332251,PERMIT,2011,0,1836 W VENANGO ST , 
   332255,PERMIT,2011,1585.32,4019 WYALUSING AVE , 
   332369,PERMIT,2011,5706.2,4823 HOWELL ST , 
   332415,PERMIT,2011,4522.41,3138 N CAMAC ST , 
   332427,PERMIT,2011,7521.81,1506 SWAIN ST , 
   332483,PERMIT,2011,5658.62,3736 N 15TH ST , 
   332505,PERMIT,2011,415.39,3446 N 08TH ST , 
   332542,PERMIT,2011,6754.42,3425 AMBER ST , 
   332551,PERMIT,2011,5800.16,5110 PENTRIDGE ST , 
   332565,PERMIT,2011,1015.76,3919 WILLOW ST , 
   332567,PERMIT,2011,901.26,3105 PAGE ST , 
   332569,PERMIT,2011,13.34,2141 E ALBERT ST , 
   332620,PERMIT,2011,2664.73,3728 MELON ST , 
